id,nombre
1,Formosa
2,Mansilla
3,Tatane
4,Mansilla
5,El colorado
6,Riacho He He
7,Clorinda
8,Herradura
9,Laguna Blanca
10,Buena vista
11,Cañada 12
12,Espinillo
13,General Manuel Belgrano
14,Laguna Naick Neck
15,Comandante Fontana
16,Estanislao del Campo
17,General Enrique Mosconi
18,Herradura
19,Ibarreta
20,Ingeniero Guillermo Nicasio Juárez
21,Laguna Yema
22,Las Lomitas
23,Mayor Vicente Villafañe
24,Misión San Francisco de Laishí
25,Misión Tacaaglé
26,Palo Santo
27,Pirané
28,Pozo del Tigre
29,San Martín Dos
30,Villa Dos Trece
31,Villa Escolar
32,Villa General Güemes
